queue_id,queue_rank,stage,source_platform,firm_name,source_url,state,practice_area_primary,firm_size_proxy,visible_star_bands,visible_review_types,matched_slice_ids,matched_slice_count,priority_score,queue_status,notes
phase1_dell_tp,1,phase1,trustpilot,"Dell & Schaefer, P.A.",https://www.trustpilot.com/review/diattorney.com,FL,disability_ssi,regional_firm,1;2;5,low_star_expectation_break;explicit_positive_outcome;explicit_positive_trust;long_form,phase1_2star_expectation;phase1_positive_outcome;phase1_positive_trust;phase1_long_form;phase1_disability,5,55.46,captured_partial,4 rows captured on 2026-03-28; still useful for more low-star disability evidence.
phase1_mckennon_tp,2,phase1,trustpilot,McKennon Law Group PC,https://www.trustpilot.com/review/mckennonlawgroup.com,CA,disability_ssi,regional_firm,1;2;4;5,low_star_expectation_break;explicit_positive_outcome;explicit_positive_trust;long_form,phase1_2star_expectation;phase1_positive_outcome;phase1_positive_trust;phase1_long_form;phase1_disability,5,55.46,captured_partial,3 rows captured on 2026-03-28; low-star disability rows still open.
phase1_ashoori_tp,3,phase1,trustpilot,Ashoori Law,https://www.trustpilot.com/review/www.ashoorilaw.com,CA,immigration,regional_firm,1;5,low_star_contact_failure;explicit_positive_trust;long_form,phase1_1star_contact;phase1_positive_trust;phase1_long_form,3,47.81,captured_partial,1 positive immigration row captured on 2026-03-28; one-star evidence still open.
phase1_greatlakes_tp,4,phase1,trustpilot,Great Lakes Law Firm,https://www.trustpilot.com/review/www.greatlakeslf.com,WI,debt_defense,regional_firm,1;3;4,low_star_contact_failure;mixed_4_star;trust_vs_outcome_ambiguity;long_form,phase1_1star_contact;phase1_mixed_4star;phase1_long_form,3,47.81,queued,Known public Trustpilot page already used in expansion batch.
phase1_heartland_tp,5,phase1,trustpilot,Heartland Law Firm,https://www.trustpilot.com/review/heartlandlawfirm.com,IL,estate_planning,solo_small_firm,1;4,low_star_contact_failure;explicit_positive_trust;long_form,phase1_1star_contact;phase1_positive_trust;phase1_long_form,3,47.81,queued,Known public Trustpilot page already used in expansion batch.
phase1_century_tp,6,phase1,trustpilot,Century Law Firm,https://www.trustpilot.com/review/centurylawfirm.com,FL,debt_defense,regional_firm,1;4;5,low_star_expectation_break;explicit_positive_outcome;explicit_positive_trust;long_form,phase1_positive_outcome;phase1_positive_trust;phase1_long_form,3,47.6,captured_partial,1 positive trust row captured on 2026-03-28; low-star and mixed rows still open.
phase1_fla_tp,7,phase1,trustpilot,"Florida Law Advisers, P.A.",https://www.trustpilot.com/review/floridalegaladvice.com,FL,family_law,regional_firm,1;5,low_star_expectation_break;explicit_positive_outcome;explicit_positive_trust;long_form,phase1_positive_outcome;phase1_positive_trust;phase1_long_form,3,35.7,queued,Known public Trustpilot page already used in expansion batch.
phase1_robertjewett_tp,8,phase1,trustpilot,Robert Jewett Law,https://www.trustpilot.com/review/robertjewettlaw.com,TX,estate_planning,solo_small_firm,5,explicit_positive_trust;explicit_positive_outcome;long_form,phase1_positive_outcome;phase1_positive_trust;phase1_long_form,3,23.8,queued,Known public Trustpilot page already used in expansion batch.
phase1_timothyangley_avvo,9,phase1,avvo,Timothy J. Angley,https://www.avvo.com/attorneys/01810-ma-timothy-angley-1340455.html,MA,estate_planning,solo_small_firm,unknown,explicit_positive_trust;explicit_positive_outcome,phase1_positive_outcome;phase1_positive_trust,2,12.6,queued,Attorney-profile source for legal-domain gap fill; star bands need page-open confirmation.
phase1_serva_tp,10,phase1,trustpilot,Serva Law Group,https://www.trustpilot.com/review/servalaw.com,FL,estate_planning,solo_small_firm,5,explicit_positive_trust;explicit_positive_outcome,phase1_positive_outcome;phase1_positive_trust,2,10.2,captured_partial,2 estate-planning rows captured on 2026-03-28.
phase1_lawyers_disability,11,phase1,lawyers.com,Disability Law Firms Directory,https://www.lawyers.com/disability/,US,disability_ssi,any,unknown,low_star_expectation_break;explicit_positive_outcome;explicit_positive_trust,phase1_positive_outcome;phase1_positive_trust;phase1_disability,3,9.26,queued,Directory scouting seed only; use to branch into firm-level pages rather than as a capture source.
phase1_shawngarner_avvo,12,phase1,avvo,Shawn H. Garner,https://www.avvo.com/attorneys/85254-az-shawn-garner-4263684.html,AZ,estate_planning,solo_small_firm,unknown,explicit_positive_trust,phase1_positive_trust,1,6.3,queued,Attorney-profile source for estate/probate gap fill; star bands need page-open confirmation.
