review_text,rating,owner_response
Very knowledgeable with estate planning. Jeremy was wonderful at answering all of our many questions in a way that was easily understood. He took the time to explain all of our choices to insure we took the decisions that best suited our needs. Jeremy also explained all of the final documentation so we were clear on any next steps.,5,
"Although I’m not a client, Jeremy upholds the most professionalism and kindness. I highly recommend him and his firm. His Legal Assistant, Traci, is one in a million and will work hard for you.",5,
"I had a great experience working with this firm on my estate plan. They were knowledgeable, patient, and explained everything in plain language. I felt heard, supported, and confident in the decisions I was making. Highly recommended for anyone who wants an organized, trustworthy, and responsive estate-planning attorney.",5,
"Mr. Ramsey is a very competent attorney who knows his way around with regards to organizing trusts and,wills, and other estate planning needs! Thankful to have been able to make his acquaintance.",5,Thank you very much Abe! It was a blessing to be able to help you in this important step.
"Jeremy took a daunting task and broke it down into manageable parts. It was truly a lovely experience doing our estate planning with Jeremy. He is friendly, patient, and incredibly organized. Thank you so much for everything and helping us protect our family and prepare for the future!",5,Thank you very much for such kind words. It was an honor to help your family.
Jeremy helped my husband and I get a trust in m place so our finances were secure. It was very thorough so our loved ones could avoid costs and time not having to deal with probate.,5,Thank you!
"Jeremy has helped me with a few different things a special needs trust, my will, and also real estate transactions and investments, very knowledgeable in so many different fields. I am very grateful and satisfied for his dedication and help…",5,Thank you!
Attorney Ramsey did a great professional job on our living trust and also on my mom’s living trust. Thanks for the great work!,5,Thank you Lance!
"""I'd like a range for a typical for sale by owner with no variable unknown costs considered so I know the baseline"" ""My rate is $325 an hr, I don't have a way to estimate the typical baseline"" So we have no way of knowing if it'll be $2k or $10k.",1,"When you called regarding your for sale by owner real estate project, I advised that since real estate matters can be unpredictable, I could not quote an exact fee, which is true. I provided my hourly rate and a range of what the fees could be. Thank you for your consideration."
"I could not even inquire about a Will or Power of Attorney without being judged for having a phone number area code that was not 815. I had exact opposite experience of most reviews here and could not get a word in from this person. If you don't have an 815 number don't waste your time. This was a disappointing referral. I chose to find a Rockford attorney with a more professional, kinder personality.",1,"I have clients all throughout the states of Wisconsin and Illinois. Many of my clients are in the Rockford area because they would like to meet with me in person about the important subject of estate planning. I asked about your area code to make sure if you would be comfortable working with me at a distance, which you were not. To suggest that I would turn down a client because of their area code is absurd."
Jeremy is dedicated and very thorough using his extensive knowledge to help people with their estate planning and other legal needs. He very adeptly helps people in this crucial area of their lives.,5,
Jeremy is dedicated and very thorough using his extensive knowledge to help people with their estate planning and other legal needs. He very adeptly helps people in this crucial area of their lives.,5,
"Mr. Ramsey is a tough, thorough and easy to understand attorney! We appreciate the help he provided us with.",5,
"My husband and I worked with Jeremy for our estate planning. He is incredibly knowledgeable, experienced, and thorough, bringing a high level of integrity to what he does. I expected the process of creating a will and thinking through everything to be daunting, however Jeremy ensured that we covered it all and guided us through our different options, patiently answering all of our questions from the beginning. He was very kind and made the process painless. Would highly recommend.",5,
"Kevin Frost was outstanding in handling my son's personal injury case. After his car accident, Kevin helped him understand his options. Kevin also went above and beyond to ensure he receive the best medical attention while he handled the legalities. He is a skilled negotiator and a dedicated advocate which resulted in a significant settlement. I am grateful for his service and highly recommend him to anyone without any reservations.",5,"Thank you, Paul, for sharing your thoughtful review! We’re so glad to hear that Kevin was able to support your son after his car accident and secure a great outcome. Our team is always here to help families who need a personal injury lawyer in the Rockford, IL area. If you or someone you know ever needs trusted legal guidance, don’t hesitate to reach out."
"Kevin Frost is a very thorough and competent personal injury lawyer. Kevin always had my son’s best interests in mind. He kept us informed of the legal process and what to expect from the insurance company. Kevin took a stressful situation and made everything an easy process. Kevin’s commitment to my son through his integrity, diligence, knowledge of the law and his persistence exceeded our expectations. We highly recommend Kevin Frost!",5,"Thank you so much, Claire! We’re truly grateful for your kind words and are glad we were able to make the process smooth and reassuring for your family. If anyone you know ever needs a personal injury lawyer in Rockford, IL, our team at Clark Frost Zucchi is here to provide the same level of care and dedication. Don’t hesitate to reach out. We’re always ready to help."
Mr. Frost is wonderful to work with and we were very pleased with how everything was handled. He made the process so easy and was there to help and answer all of our questions. Very happy with how the matter turned out and definitely recommend him and his office.,5,Thanks Darcie for the excellent rating. We are proud to be a top choice for Personal Injury cases in the greater Rockford region. It is our goal to provide the best outcome for our clients. Our team at Clark Frost Zucchi works diligently to make the process easy for our clients and keeping them informed along the way. Thanks again for your trust in our firm and Kevin Frost.
Didn't even get past the phone call to schedule an appointment. Whoever answered the phone was not pleasant or helpful. I immediately knew I would never recommend this law practice to anyone.,1,
"Just know that your ""Free initial consultation"" is NOT free. You will be charged $50 when you make your consultation appointment and this $50 is non-refundable, even if you decide not to hire them!! So you are paying them to have an appointment with them!! Unbelievable!! They claim it's for administration fees!! What a scam. Please save yourself the headache, find a different attorney.",1,
A very simple probate has taken more then 2 years! Still waiting!!!,1,
Late on getting back to u,3,
"I have been denied disability twice now. I called the firm for advice and help. After a series of about 4 to 5 questions, the woman on the phone told me that I was not going to be able to receive disability because I claim an income. My income is less than 12,000 a year. I was informed that you cannot claim any kind of income if you want to be approved for disability and she hung up on me.",1,"We sincerely apologize for your recent experience with our firm. We understand how challenging and disheartening it can be to navigate the complexities of disability claims, especially after facing denials. Regarding our policy, we must clarify that our firm typically does not take cases where the claimants are currently working. This policy stems from our historical data showing a significantly lower success rate in cases where clients have ongoing employment. Although the government allows part-time work while receiving Social Security benefits, our track record in these scenarios has not been favorable. We regret if this policy and its implications were not communicated to you empathetically and clearly. Our goal is always to provide the best possible guidance, even when we cannot take on a case. If you have further questions or need more detailed explanations, please don’t hesitate to contact Shawn, who will be more than willing to assist you. Again, we are sorry for any frustration or inconvenience caused and appreciate your understanding of our position. Sincerely, Shawn Good The Good Law Group"
"I urge you not to use this group for they are a very crooked law office that plays game with the system at the expense of their clients. They were not honest. On the day of my hearing the most important date, Mr Good senior sends his son to represent me, his son makes me sign a new client form to allow him to represent me. Of course I sign with his son out of desperation because my hearing is in 10 minutes. His son Good jr acted very crass towards the judge and ultimately ended up threatening the judge by saying I don't care what decision you make we will appeal! I signed up with Mr Good senior, someone I thought was an honest experienced attorney and he completely let me down and sent his inexperienced son to represent me at my hearing last minute! Again go with the bigger groups you see on TV... this law group is no good!",1,We regret to hear that you are displeased with your recent experience with us. We appreciate you bringing this experience to our attention. -Shawn
Call these guys if you want someone to tell you to do it yourself and they'll file the papers. Their phone assistant was hired to tell people that they should go on the SS website. Way to go. What you're saying is you won't help unless it's been figured out already. What if my disability doesn't allow me to do such things? Call elsewhere.,1,"We are sorry we could not help you. Without the information we need regarding eligibility for benefits there is nothing we can do. If you want to call me directly, please call my office at 847/577-4476 and ask for Shawn."
They do not return calls. After my 4th call to inquire status of my case the receptionist said she was told to tell me I was too old for them to represent me in a disability case.,3,"We are sorry you think we did not return your calls. We pride ourselves on being highly responsive so this feedback is troubling. Generally, if you are at or above full retirement age you are not eligible for benefits. This is not our rules, it is federal law. -Shawn"
"Shawn was very friendly and also very helpful in getting me to and from the court hearing. In my current situation, I would have not had been able to get there otherwise.",4,
"If you want to pay someone $3,500 just to be screamed at and thrown out of their office, then this is the lawyer for you. I hired him to handle my case, but during what should have been a routine office visit, he lost his temper simply because I was wearing a beer T-shirt under a zipped hoodie. When I calmly told him I didn’t appreciate being spoken to that way—especially after paying him thousands of dollars—he threw my folder across the desk, told me it was “16 hours of work” and that I wouldn’t be getting anything back, then ordered his secretary to kick me out. I never received a refund, never got proper legal help from him, and ultimately had to hire another attorney (Albert Altamore) to fix the mess. This incident happened about a year ago, and I waited until all my court matters were resolved before posting this review to make sure he couldn’t jeopardize my case. I’m writing this now to warn others: save your money, time, and peace of mind.",1,"Adrianna, thank you for your feedback. The attorney that handled your case is no longer with the firm. We strive to provide only the best representation for all of our clients. If the need ever arises, we hope you would you would consider contacting us for a free consultation."
"Divorces are messy even if you don’t want them to be! Having a paralegal like Maria makes a huge difference. She GETS it! And I knew she was in my corner all the way! Mason was great and he could not do what he does without a team behind him. It was an annoying, frustrating process but the Crosby team did what they could within the confines of the law. Unfortunately, laws can hamstring alot of things but Mason and Maira did a good job of guiding where it matters most. Thanks to you both!",4,
The process of my divorce took 5 months. You will mostly be working with the paralegals which are not friendly at all. It’s an inconvenience if you call or email. Don’t expect fast responses. Absolutely no compassion either. Divorce is a difficult process but you are on your own. I had to remind them of all the demands I had. They even missed a few demands that I had required. I felt like an inconvenience to them. Mason & Tyler are kind. But they need better paralegals. I’m just glad this is over with.,3,
"If I could give 6 stars, I would. I made a terrible mistake and was charged with a DUI. I’ve never been in trouble with the law, not even a ticket, so my anxiety was eating me alive. I came across Paul and, after reading all of the reviews, I chose him to represent me in court, and it was probably one of the best decisions I made. Not only did he reassure me when it came to anxiety, but he was hands-on every step of the way. Every time I had a question or concern about anything, he responded quickly, whether it was through text or call. He fought for me until the very end and got me the best possible outcome. He was able to get my license suspension lifted for me with having to take a few treatment classes, court supervision, and pay fines, so if you’re ever in need of an attorney, whatever the case may be, Paul is your guy to go to. Thank you again, Paul, you’re the best!",5,
"I had a great experience with The Law Office of Paul M. Marriett. They handled my Rockford CDL ticket efficiently and kept me informed throughout the entire process. No stress, no confusion, and everything was resolved just like they said it would be. Professional, reliable, and worth it. I would definitely recommend them to anyone needing representation.",5,
"The attorney took on my case, worked it for over a month then “realized “ he couldn’t anymore bc the arresting officer was his cousin. Not sure how he didn’t know this before because he had the police report, but then he charged me the full amount and I was stuck without legal council",2,
"Had a similar experience to the other 1 start review. Called for a consult/information. Was forwarded to one of the attorneys from the front desk. Not sure the gentleman’s name, but right of the rip he was extremely rude and condescending. Barely gave me any opportunity to speak or explain my situation, only heard what he wanted to hear and then would cut me off and start rambling. Almost feel like this gentleman just enjoyed hearing his own voice. Will never attempt to go through this lawfirm again and would not recommend anybody else to try them. The biggest kick is that this gentleman casually threw in my face that the amount of money I was seeking legal action for was basically chump change and not worth his time. Well not everybody makes big lawyer money like you my friend, for some people that amount of money could genuinely be life changing.",1,
Pros: Ryan Varner is a pretty good guy. Cons: The office staff is completely inept at their job.,2,
"I have great reservations about not awarding the firm five stars. Thus far, the representation has been outstanding. The lawyers are caring, intelligent, know the law, and are aggressive in representing my interests, and I am sure, the interests of all there clients. That the litigation is more is expensive than I, and I am sure they, anticipated is because the circumstances so unusual that they aren't likely to happen again anytime soon and it would have happened whatever law firm I retained. That said, trying to deal with the billing department is a nightmare. That is not to say that any of the enumerated costs in the billing statements I have received are out of the ordinary--if anything certain things appear to be billed somewhat conservatively: in my experience, O'Flaherty law compares favorably with the standard rates for much smaller firms that do not have nearly the same resources and experience. However, dealing with the billing department is a nightmare. Once, I thought a retainer had been paid, and months later I was notified it was not and that representation would be put on hold. Sometimes, a retainer refill will be $5,000, sometimes $10,000, and the discrepancy is never explained. Very shortly after paying the 10,000 I got a letter saying ""your retainer has been depleted and is insufficient to cover a past-due balance,"" and asked for $5,0000. I was shocked, asked about it, and was told that it had not been depleted, that the 5,000 was essentially to get the trust back up to 10,000 but that the matter had been placed on hold until this was paid. Yet the due date to pay it was seven days later making me wonder if the matter had been placed on hold or would be placed on hold in seven days. (Aren't lawyers supposed to be precise about these things?) Nor does it seem had my lawyer paid any heed (he was more worried about my case than the billing department and there was still money in the trust.) and a couple of weeks later while considering how I would pay the retainer, I got a past due balance for a much smaller amount (under 2,000 dollars), but nowhere did it say the matter would be placed on hold until the outstanding balance was paid which perhaps would have been the most sensible place to take such action. Aren't lawyers supposed to be precise with language? Again, as far as I can tell there is nothing enumerated in the invoices that I can see which isn't relevant, necessary, or prudent in regards to the litigation, and when enumerated is billed at a very reasonable rate for a lawyer. The problem is that what the billing department says doesn't make any sense and when you ask for clarification, they respond with ""oh what it says isn't true."" Also, the enumerated hours come in the mail, and unsurprisingly will come at completely different time then email requests for a retainer to be refilled or a past due balance to be paid. It might be helpful it there were a secure online portal where one could examine the amount paid, the expenses billed, the retainer, any unpaid balances. I also asked the billing department how much the case had cost in total, but I didn't receive a response. (I've asked again, and I'm sure I will.) This is not over-billing or anything sinister, but it is a mess.",3,
"I had a consultation with Mr. Oancea regarding a business Small Claims Court case in Cook County, and I’m very grateful for his guidance. He carefully reviewed our case, explained the process step by step, and clearly outlined what we could realistically expect. What stood out most was his honesty — he did not make unrealistic promises, but instead gave straightforward, practical advice based on experience. I truly felt that he cared and wanted to help. I highly recommend Iurie Oancea as an attorney in Cook County. Thank you for your time and professionalism. I truly appreciate your honesty, guidance, and support.",5,
I reached out to the attorney for a few legal clarifications and I was very satisfied with the service. He answered all of my questions patiently and provided the necessary information with clarity and professionalism. I truly appreciated his helpful attitude and clear explanations. I would definitely recommend his services to anyone who needs reliable legal advice,5,
"I really appreciate both attorneys they both did an amazing job on my husband’s case. He’s home and we thank both of them. Alex is a beast, the Judge agreed with everything he said.",5,
These guys are horrible. First court date the Lawyer showed up late didn’t even know he had to come. Second court date came around another lawyer showed up and all she did was fix the other lawyers promblems that he had done. They sent me go another courtroom I wasn’t suppose to go to. The lawyers were extremely rude and one actually racist saying that “ oh I deal with your kind all the time” like seriously?! This was my first time having to get a lawyer and had to deal with these scums. Nothing but wasting my time and money. They call themselves lawyers but they are just idiot with certificates.,1,
