record_id,collection_batch,firm_name,review_rating,source_platform,state,practice_area_primary,weak_slice_tags,dataset_role,benchmark_candidate_flag,holdout_flag,audit_only_flag,sentiment_mix_tag,candidate_reason,human_review_status,label_status,labeler,label_reviewed_at,expected_labels_json,truth_decision_note
dell_20260328_tarita_5,20260328_phase1,Disability Insurance Attorneys Dell & Schaefer,5,trustpilot,FL,disability_ssi,explicit_positive_outcome;explicit_positive_trust;long_form,holdout,false,true,false,positive_single_tone,Long-form explicit positive outcome and trust row from disability practice; good later contrast case.,triaged,reserved_holdout,,,,
dell_20260328_vivavaleur_2,20260328_phase1,Disability Insurance Attorneys Dell & Schaefer,2,trustpilot,FL,disability_ssi,low_star_expectation_break;trust_vs_outcome_ambiguity;long_form,audit_only,false,false,true,negative_single_tone,"Heavy expectation versus outcome framing with benchmark-design ambiguity around settlement, tax, and lien complaints.",triaged,audit_only,,,,
dell_20260328_riantroyer_1,20260328_phase1,Disability Insurance Attorneys Dell & Schaefer,1,trustpilot,FL,disability_ssi,low_star_expectation_break;low_star_contact_failure;long_form,benchmark_candidate,true,false,false,negative_single_tone,"Kept. Strong one-star disability review with clear expectation collapse and trust failure, even though the contact signal is weaker than the initial weak-slice tag suggested.",reviewed_candidate_subset,reviewed_candidate,parent_agent,2026-03-28,"[{""theme"": ""expectation_setting"", ""polarity"": ""negative"", ""severity"": ""severe_negative"", ""evidence"": ""Dell never started the LTD claim""}, {""theme"": ""professionalism_trust"", ""polarity"": ""negative"", ""severity"": ""severe_negative"", ""evidence"": ""The contract doesn't say a single thing Dell will do for you""}]","Kept. Strong one-star disability review with clear expectation collapse and trust failure, even though the contact signal is weaker than the initial weak-slice tag suggested."
dell_20260328_ruby_5,20260328_phase1,Disability Insurance Attorneys Dell & Schaefer,5,trustpilot,FL,disability_ssi,explicit_positive_outcome;explicit_positive_trust;long_form,benchmark_candidate,true,false,false,positive_single_tone,Kept. Explicit successful outcome plus unusually direct trust language.,reviewed_candidate_subset,reviewed_candidate,parent_agent,2026-03-28,"[{""theme"": ""outcome_satisfaction"", ""polarity"": ""positive"", ""severity"": ""positive"", ""evidence"": ""successfully appealed my LTD insurance claim denial, and I was approved within weeks""}, {""theme"": ""professionalism_trust"", ""polarity"": ""positive"", ""severity"": ""positive"", ""evidence"": ""genuine care and trust seems so elusive""}]",Kept. Explicit successful outcome plus unusually direct trust language.
mckennon_20260328_mike_5,20260328_phase1,McKennon Law Group PC,5,trustpilot,CA,disability_ssi,explicit_positive_outcome;explicit_positive_trust;long_form,benchmark_candidate,true,false,false,positive_single_tone,"Kept. Clean positive disability row with explicit trust, clarity, and outcome signals.",reviewed_candidate_subset,reviewed_candidate,parent_agent,2026-03-28,"[{""theme"": ""professionalism_trust"", ""polarity"": ""positive"", ""severity"": ""positive"", ""evidence"": ""professional, patient, and incredibly knowledgeable""}, {""theme"": ""communication_clarity"", ""polarity"": ""positive"", ""severity"": ""positive"", ""evidence"": ""explaining every step""}, {""theme"": ""outcome_satisfaction"", ""polarity"": ""positive"", ""severity"": ""positive"", ""evidence"": ""the outcome I deserved""}]","Kept. Clean positive disability row with explicit trust, clarity, and outcome signals."
mckennon_20260328_mikehammers_4,20260328_phase1,McKennon Law Group PC,4,trustpilot,CA,disability_ssi,mixed_4_star;explicit_positive_outcome,holdout,false,true,false,mixed,Useful mixed 4-star disability row with explicit positive outcome wording for later blind evaluation.,triaged,reserved_holdout,,,,
mckennon_20260328_christicampo_5,20260328_phase1,McKennon Law Group PC,5,trustpilot,CA,disability_ssi,explicit_positive_outcome;explicit_positive_trust;long_form,corpus_only,false,false,false,positive_single_tone,"Strong positive row, but similar to other explicit positive disability rows already promoted ahead of it.",triaged,corpus_only,,,,
serva_20260328_camthuy_5,20260328_phase1,Serva Law Group,5,trustpilot,FL,estate_planning,explicit_positive_trust;explicit_positive_outcome;long_form,corpus_only,false,false,false,positive_single_tone,"Good estate-planning positive row, but less urgent than weak-slice and mixed-sentiment rows.",triaged,corpus_only,,,,
serva_20260328_dunguyen_5,20260328_phase1,Serva Law Group,5,trustpilot,FL,estate_planning,explicit_positive_trust;long_form,corpus_only,false,false,false,positive_single_tone,"Useful corpus expansion for positive trust language, but still generic enough to hold out of first benchmark prep.",triaged,corpus_only,,,,
ashoori_20260328_nayanamana_5,20260328_phase1,Ashoori Law,5,trustpilot,CA,immigration,explicit_positive_trust;explicit_positive_outcome;long_form,benchmark_candidate,true,false,false,positive_single_tone,"Kept. Strong positive immigration row with explicit clarity, responsiveness, expectation, and outcome language.",reviewed_candidate_subset,reviewed_candidate,parent_agent,2026-03-28,"[{""theme"": ""communication_clarity"", ""polarity"": ""positive"", ""severity"": ""positive"", ""evidence"": ""clear about the requirements, timelines, and documentation""}, {""theme"": ""communication_responsiveness"", ""polarity"": ""positive"", ""severity"": ""positive"", ""evidence"": ""responsive whenever I had questions""}, {""theme"": ""expectation_setting"", ""polarity"": ""positive"", ""severity"": ""positive"", ""evidence"": ""realistic and transparent about the process""}, {""theme"": ""outcome_satisfaction"", ""polarity"": ""positive"", ""severity"": ""positive"", ""evidence"": ""handled properly and without issues""}]","Kept. Strong positive immigration row with explicit clarity, responsiveness, expectation, and outcome language."
century_20260328_paulhowell_5,20260328_phase1,Century Law Firm,5,trustpilot,FL,debt_defense,explicit_positive_trust,corpus_only,false,false,false,positive_single_tone,Short positive trust row with lighter benchmark value than the stronger long-form positives.,triaged,corpus_only,,,,
