scout_id,scout_batch,source_platform,firm_name,source_url,city,state,practice_area_primary,practice_area_secondary,firm_size_proxy,visible_star_bands,visible_review_types,review_volume_signal,source_access_confidence,source_status,notes
wave80_yflc_google_maps,20260328_wave80,google_maps,"Your Family Law Center, S.C.","https://www.google.com/maps/place/Your+Family+Law+Center,+S.C./@43.0750641,-89.389965,17z/data=!4m8!3m7!1s0x88065337ec1836e9:0x319d33c3788e9453!8m2!3d43.0750641!4d-89.389965!9m1!1b1!16s%2Fg%2F11bvt28rx8?entry=ttu",Madison,WI,family_law,child_custody,regional_firm,1;4;5,low_star_contact_failure;low_star_expectation_break;explicit_positive_trust;long_form,medium,high,scouted_live,Verified Google Maps firm page with visible one-star and five-star family-law reviews.
wave80_kowalski_google_maps,20260328_wave80,google_maps,"Kowalski, Wilson & Vang, LLC","https://www.google.com/maps/place/Kowalski,+Wilson+%26+Vang,+LLC/@43.097286,-89.5466183,11z/data=!3m1!5s0x8807af6aa34c5011:0x3f3b1a8b48165325!4m8!3m7!1s0x8807ae8a8dfd43c7:0xcf096024b34dfbbf!8m2!3d43.0761239!4d-89.5318687!9m1!1b1!16s%2Fg%2F1ptwbrkh0?entry=ttu",Madison,WI,family_law,divorce_custody,regional_firm,1;2;4;5,low_star_contact_failure;low_star_expectation_break;trust_vs_outcome_ambiguity;mixed_4_star;long_form,medium,high,captured_live,Verified Google Maps firm page with visible one-star and two-star family-law reviews; Wave80 rows captured in Pass 1 and Pass 3.
wave80_morgan_google_maps,20260328_wave80,google_maps,Morgan & Morgan,"https://www.google.com/maps/place/Morgan+%26+Morgan/@33.7590553,-84.3867271,15z/data=!4m8!3m7!1s0x88f504787324de49:0xb50b0c4aed7cc181!8m2!3d33.7590553!4d-84.3867271!9m1!1b1!16s%2Fg%2F1tcvvpwq?entry=ttu",Atlanta,GA,personal_injury,injury_litigation,regional_firm,1;2;3;4;5,low_star_contact_failure;low_star_expectation_break;explicit_positive_outcome;explicit_positive_trust;long_form,high,high,captured_live,Verified Google Maps firm page with large low-star personal-injury pool; Wave80 rows captured in Pass 1 and Pass 3.
wave80_ryangarry_google_maps,20260328_wave80,google_maps,"Ryan Garry LLC, Criminal Defense Attorneys","https://www.google.com/maps/place/Ryan+Garry+LLC,+Criminal+Defense+Attorneys/@44.974302,-93.2697677,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xf1250c222b7411cc!8m2!3d44.974302!4d-93.267579",Minneapolis,MN,criminal_defense,dui_defense,regional_firm,5,explicit_positive_trust;long_form,high,high,scouted_live,Derived from verified Google Maps placement surfaced during Minneapolis criminal defense scouting.
wave80_matthewlind_avvo,20260328_wave80,avvo,"Sherrard McGonagle Tizzano, P.S.",https://www.avvo.com/attorneys/98370-wa-matthew-lind-36088.html?rating=2,Poulsbo,WA,real_estate,business_estate_planning,local_firm,1;2;5,low_star_expectation_break;low_star_contact_failure;trust_vs_outcome_ambiguity;long_form,medium,high,captured_gap_fill,Targeted Avvo gap-fill source used in Wave80 Pass 2 to obtain a clean 2-star real-estate/business review with explicit expectation and outcome failure language.
wave80_brianwalters_avvo,20260328_wave80,avvo,"Walters Gilbreath, PLLC",https://www.avvo.com/attorneys/75219-tx-brian-walters-43122.html?rating=2,Dallas,TX,family_law,divorce_separation,regional_firm,1;2;4;5,low_star_contact_failure;mixed_4_star;explicit_positive_trust;long_form,high,high,captured_gap_fill,Targeted Avvo gap-fill source used in Wave80 Pass 2 to obtain a clean 2-star family-law customer-experience row.
wave80_edgardgarcia_avvo,20260328_wave80,avvo,The Law Office of Edgard Garcia,https://www.avvo.com/attorneys/92243-ca-edgard-garcia-1909912.html,El Centro,CA,family_law,domestic_violence_child_support,local_firm,1;4;5,mixed_4_star;low_star_contact_failure;low_star_expectation_break;long_form,medium,high,captured_gap_fill,Targeted Avvo gap-fill source used in Wave80 Pass 2 to obtain a genuine mixed 4-star family-law row with explicit delay and responsiveness complaints.
wave80_michaeltroiano_avvo,20260328_wave80,avvo,Michael F Troiano Esq,https://www.avvo.com/attorneys/ny-michael-troiano-870364.html,Brooklyn,NY,social_security_disability,car_accidents,local_firm,1;4;5,mixed_4_star;trust_vs_outcome_ambiguity;explicit_positive_outcome;explicit_positive_trust,low,high,captured_gap_fill,Targeted Avvo gap-fill source used in Wave80 Pass 2 to obtain a mixed 4-star disability-outcome row with explicit weak result language.
wave80_martinkron_avvo,20260328_wave80,avvo,"Martin A. Kron & Associates, PC.",https://www.avvo.com/attorneys/10017-ny-martin-kron-877563.html?page=9&version=variant,New York,NY,speeding_traffic_ticket,dui_dwi,local_firm,1;3;4;5,mixed_4_star;explicit_positive_trust;long_form,high,medium,captured_gap_fill,Targeted Avvo gap-fill source used in Wave80 Pass 2 to obtain a mixed 4-star traffic row with explicit positive trust language and mild service reservation.
wave80_donstewart_avvo,20260328_wave80,avvo,"Don R. Stewart, Attorney at Law",https://www.avvo.com/attorneys/76063-tx-don-stewart-221603.html,Mansfield,TX,criminal_defense,family_business_probate,local_firm,1;4;5,low_star_expectation_break;trust_vs_outcome_ambiguity;long_form,low,high,captured_gap_fill,Targeted Avvo gap-fill source used in Wave80 Pass 2 to add another low-star non-Google row with explicit advocacy and trust collapse language.
