scout_id,scout_batch,source_platform,firm_name,source_url,city,state,practice_area_primary,practice_area_secondary,firm_size_proxy,visible_star_bands,visible_review_types,review_volume_signal,source_access_confidence,source_status,notes
heartland_tp,20260328_phase1,trustpilot,Heartland Law Firm,https://www.trustpilot.com/review/heartlandlawfirm.com,Glenview,IL,estate_planning,elder_law,solo_small_firm,"1;4",low_star_contact_failure;explicit_positive_trust;long_form,medium,high,queued,"Known public Trustpilot page already used in expansion batch."
greatlakes_tp,20260328_phase1,trustpilot,Great Lakes Law Firm,https://www.trustpilot.com/review/www.greatlakeslf.com,Madison,WI,debt_defense,bankruptcy,regional_firm,"1;3;4",low_star_contact_failure;mixed_4_star;trust_vs_outcome_ambiguity;long_form,medium,high,queued,"Known public Trustpilot page already used in expansion batch."
century_tp,20260328_phase1,trustpilot,Century Law Firm,https://www.trustpilot.com/review/centurylawfirm.com,Jacksonville,FL,debt_defense,personal_injury,regional_firm,"1;4;5",low_star_expectation_break;explicit_positive_outcome;explicit_positive_trust;long_form,high,high,captured_partial,"2026-03-28 capture added 1 positive-trust row into the Phase 1 batch; low-star rows still needed."
fla_tp,20260328_phase1,trustpilot,"Florida Law Advisers, P.A.",https://www.trustpilot.com/review/floridalegaladvice.com,Plant City,FL,family_law,divorce,regional_firm,"1;5",low_star_expectation_break;explicit_positive_outcome;explicit_positive_trust;long_form,medium,high,queued,"Known public Trustpilot page already used in expansion batch."
ashoori_tp,20260328_phase1,trustpilot,Ashoori Law,https://www.trustpilot.com/review/www.ashoorilaw.com,Woodland Hills,CA,immigration,,regional_firm,"1;5",low_star_contact_failure;explicit_positive_trust;long_form,medium,high,captured_partial,"2026-03-28 capture added 1 positive row into the Phase 1 batch; low-star evidence still open."
robertjewett_tp,20260328_phase1,trustpilot,Robert Jewett Law,https://www.trustpilot.com/review/robertjewettlaw.com,Cypress,TX,estate_planning,probate,solo_small_firm,5,explicit_positive_trust;explicit_positive_outcome;long_form,low,high,queued,"Known public Trustpilot page already used in expansion batch."
mckennon_tp,20260328_phase1,trustpilot,McKennon Law Group PC,https://www.trustpilot.com/review/mckennonlawgroup.com,Newport Beach,CA,disability_ssi,insurance_disputes,regional_firm,"1;2;4;5",low_star_expectation_break;explicit_positive_outcome;explicit_positive_trust;long_form,high,medium,captured_partial,"2026-03-28 capture added 3 rows into the Phase 1 batch, including one mixed 4-star; low-star rows still needed."
dell_tp,20260328_phase1,trustpilot,"Dell & Schaefer, P.A.",https://www.trustpilot.com/review/diattorney.com,Hollywood,FL,disability_ssi,personal_injury,regional_firm,"1;2;5",low_star_expectation_break;explicit_positive_outcome;explicit_positive_trust;long_form,high,medium,captured_partial,"2026-03-28 capture added 4 rows into the Phase 1 batch, including 1-star and 2-star evidence."
serva_tp,20260328_phase1,trustpilot,Serva Law Group,https://www.trustpilot.com/review/servalaw.com,Miami,FL,estate_planning,probate,solo_small_firm,5,explicit_positive_trust;explicit_positive_outcome,low,medium,captured_partial,"2026-03-28 capture added 2 positive estate-planning rows into the Phase 1 batch."
timothyangley_avvo,20260328_phase1,avvo,"Timothy J. Angley",https://www.avvo.com/attorneys/01810-ma-timothy-angley-1340455.html,Andover,MA,estate_planning,elder_law,solo_small_firm,unknown,explicit_positive_trust;explicit_positive_outcome,medium,medium,queued,"Attorney-profile source for legal-domain gap fill; star bands need page-open confirmation."
shawngarner_avvo,20260328_phase1,avvo,"Shawn H. Garner",https://www.avvo.com/attorneys/85254-az-shawn-garner-4263684.html,Scottsdale,AZ,estate_planning,probate,solo_small_firm,unknown,explicit_positive_trust,medium,medium,queued,"Attorney-profile source for estate/probate gap fill; star bands need page-open confirmation."
lawyers_disability,20260328_phase1,lawyers.com,Disability Law Firms Directory,https://www.lawyers.com/disability/,US,US,disability_ssi,,any,unknown,low_star_expectation_break;explicit_positive_outcome;explicit_positive_trust,medium,low,queued,"Directory scouting seed only; use to branch into firm-level pages rather than as a capture source."
sterling_gm,20260328_phase1,google_maps,"Sterling Lawyers, LLC",https://www.google.com/maps/place/Sterling+Lawyers,+LLC/@43.1347475,-89.2905861,17z/data=!4m8!3m7!1s0x880656563e12d053:0x9bebda2438afdb32!8m2!3d43.1347475!4d-89.2905861!9m1!1b1!16s%2Fg%2F11c5bwj_zc?entry=ttu,Madison,WI,family_law,divorce,regional_firm,"1;4;5",low_star_contact_failure;low_star_expectation_break;trust_vs_outcome_ambiguity;long_form,high,high,captured_partial,"2026-03-28 Google Maps capture added 3 low-star family-law rows after sorting reviews by lowest rating."
scottsdalefamilylaw_gm,20260328_phase1,google_maps,Scottsdale Family Law,https://www.google.com/maps/place/Scottsdale+Family+Law/@33.579951,-111.9223,17z/data=!4m12!1m2!2m1!1shttps:%2F%2Fwww.google.com%2Fmaps%2Fsearch%2Ffamily%2Blawyer%2Bscottsdale%2Baz!3m8!1s0x872b74eda53819d5:0x8f48a4691e412a3f!8m2!3d33.579951!4d-111.9223!9m1!1b1!15sCj5odHRwczovL3d3dy5nb29nbGUuY29tL21hcHMvc2VhcmNoL2ZhbWlseStsYXd5ZXIrc2NvdHRzZGFsZStheiIDiAEBWj4iPGh0dHBzIHd3dyBnb29nbGUgY29tIG1hcHMgc2VhcmNoIGZhbWlseSBsYXd5ZXIrc2NvdHRzZGFsZSBhepIBE2ZhbWlseV9sYXdfYXR0b3JuZXmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXpOM0JMUldaM0VBReABAPoBBQigAhA1!16s%2Fg%2F1tj89x5s?entry=ttu,Scottsdale,AZ,family_law,prenup,solo_small_firm,"1;2;5",low_star_expectation_break;trust_vs_outcome_ambiguity;long_form,high,high,captured_partial,"2026-03-28 Google Maps capture added 1 one-star and 1 two-star family-law row after sorting reviews by lowest rating."
